Sector,Year,Value_USD_Million,YoY_Pct_Growth
Clothes & Knitted,2019 - 2020,914.15,
Clothes & Knitted,2020 - 2021,911.82,-0.25
Clothes & Knitted,2021 - 2022,697.31,-23.53
Clothes & Knitted,2022 - 2023,618.57,-11.29
Clothes & Knitted,2023 - 2024,638.19,3.17
Clothes & Knitted,2024 - 2025,700.14,9.71
Clothes & Non-Knitted,2019 - 2020,695.27,
Clothes & Non-Knitted,2020 - 2021,913.1,31.33
Clothes & Non-Knitted,2021 - 2022,531.28,-41.82
Clothes & Non-Knitted,2022 - 2023,531.64,0.07
Clothes & Non-Knitted,2023 - 2024,587.11,10.43
Clothes & Non-Knitted,2024 - 2025,603.73,2.83
